x,y,z,tipo
-64.0,344.0,776.0,av
-600.0,344.0,764.0,av
-556.0,408.0,736.0,av
-468.0,384.0,672.0,av
-544.0,432.0,728.0,av
-568.0,368.0,780.0,av
-588.0,384.0,728.0,av
-548.0,384.0,724.0,av
-540.0,348.0,780.0,av
-532.0,380.0,732.0,av
-564.0,368.0,728.0,av
-596.0,324.0,776.0,av
-564.0,340.0,760.0,av
-568.0,336.0,744.0,av
-572.0,352.0,740.0,av
-576.0,336.0,772.0,av
-580.0,352.0,764.0,av
-580.0,340.0,776.0,av
-560.0,348.0,744.0,av
-560.0,344.0,752.0,av
-572.0,328.0,784.0,av
-564.0,336.0,748.0,av
-576.0,344.0,748.0,av
-556.0,348.0,764.0,av
-564.0,324.0,772.0,av
-556.0,332.0,752.0,av
-560.0,344.0,744.0,av
-572.0,344.0,752.0,av
-560.0,352.0,760.0,av
-560.0,332.0,748.0,av
-604.0,324.0,776.0,av
-604.0,340.0,764.0,av
-564.0,336.0,760.0,av
-600.0,340.0,784.0,av
-564.0,348.0,800.0,av
-556.0,340.0,780.0,av
-560.0,352.0,756.0,av
-592.0,356.0,800.0,av
-528.0,320.0,752.0,av
-492.0,344.0,756.0,av
-496.0,348.0,752.0,av
-520.0,344.0,784.0,av
-604.0,512.0,576.0,av
-640.0,364.0,744.0,av
-576.0,256.0,776.0,av
-736.0,128.0,804.0,av
-664.0,88.0,840.0,av
-716.0,-8.0,816.0,av
-932.0,388.0,744.0,av
-628.0,264.0,820.0,av
-572.0,316.0,832.0,av
-580.0,480.0,724.0,av
-400.0,612.0,564.0,av
-420.0,376.0,752.0,av
-660.0,624.0,544.0,av
-520.0,512.0,700.0,av
-480.0,528.0,664.0,av
-656.0,620.0,548.0,av
-488.0,464.0,652.0,av
-668.0,296.0,788.0,av
-656.0,272.0,728.0,av
-652.0,260.0,736.0,av
-652.0,172.0,728.0,av
-712.0,-52.0,844.0,av
-780.0,104.0,712.0,av
-752.0,64.0,748.0,av
-748.0,168.0,704.0,av
-544.0,48.0,712.0,av
-544.0,64.0,612.0,av
-380.0,124.0,696.0,av
-404.0,296.0,584.0,av
-692.0,328.0,536.0,av
-944.0,408.0,640.0,av
-672.0,408.0,528.0,av
-560.0,508.0,580.0,av
-564.0,476.0,456.0,av
-716.0,400.0,688.0,av
-696.0,516.0,528.0,av
-792.0,528.0,492.0,av
-548.0,352.0,716.0,av
-488.0,364.0,616.0,av
-664.0,236.0,648.0,av
-652.0,100.0,672.0,av
-640.0,68.0,752.0,av
-684.0,124.0,724.0,av
-672.0,172.0,736.0,av
-736.0,196.0,744.0,av
-624.0,100.0,740.0,av
-628.0,136.0,708.0,av
-724.0,60.0,820.0,av
-1044.0,-20.0,912.0,av
-416.0,248.0,760.0,av
-468.0,128.0,940.0,av
-580.0,240.0,660.0,av
-548.0,268.0,700.0,av
-716.0,348.0,688.0,av
-608.0,400.0,720.0,av
-592.0,376.0,768.0,av
