x,y,z,tipo
360.0,904.0,-104.0,avDx
364.0,892.0,-108.0,avDx
376.0,900.0,-108.0,avDx
376.0,884.0,-112.0,avDx
380.0,888.0,-116.0,avDx
384.0,896.0,-116.0,avDx
364.0,908.0,-120.0,avDx
348.0,872.0,-96.0,avDx
336.0,916.0,-56.0,avDx
388.0,932.0,-80.0,avDx
444.0,784.0,-112.0,avDx
528.0,812.0,-176.0,avDx
532.0,792.0,-148.0,avDx
532.0,788.0,-180.0,avDx
532.0,780.0,-172.0,avDx
532.0,808.0,-144.0,avDx
524.0,792.0,-176.0,avDx
536.0,796.0,-144.0,avDx
512.0,808.0,-148.0,avDx
528.0,784.0,-164.0,avDx
528.0,800.0,-160.0,avDx
528.0,804.0,-160.0,avDx
520.0,780.0,-156.0,avDx
528.0,808.0,-160.0,avDx
512.0,788.0,-152.0,avDx
532.0,780.0,-184.0,avDx
536.0,788.0,-176.0,avDx
528.0,784.0,-152.0,avDx
528.0,788.0,-172.0,avDx
528.0,792.0,-168.0,avDx
512.0,808.0,-140.0,avDx
524.0,780.0,-168.0,avDx
496.0,868.0,-140.0,avDx
404.0,896.0,-88.0,avDx
292.0,904.0,-40.0,avDx
184.0,940.0,4.0,avDx
160.0,932.0,-76.0,avDx
160.0,1020.0,-32.0,avDx
192.0,944.0,-56.0,avDx
204.0,984.0,-20.0,avDx
232.0,932.0,-32.0,avDx
232.0,948.0,-56.0,avDx
228.0,960.0,-60.0,avDx
232.0,956.0,-12.0,avDx
252.0,960.0,-28.0,avDx
244.0,944.0,-16.0,avDx
240.0,936.0,-28.0,avDx
260.0,952.0,-36.0,avDx
264.0,956.0,-32.0,avDx
240.0,952.0,4.0,avDx
236.0,960.0,4.0,avDx
260.0,944.0,-12.0,avDx
236.0,968.0,-8.0,avDx
240.0,992.0,-16.0,avDx
140.0,1200.0,4.0,avDx
-28.0,792.0,20.0,avDx
56.0,876.0,4.0,avDx
180.0,1052.0,-60.0,avDx
184.0,972.0,-64.0,avDx
180.0,792.0,12.0,avDx
300.0,976.0,-84.0,avDx
256.0,876.0,-4.0,avDx
288.0,968.0,-56.0,avDx
240.0,1004.0,-56.0,avDx
136.0,960.0,-52.0,avDx
80.0,972.0,-108.0,avDx
36.0,1000.0,44.0,avDx
36.0,1000.0,104.0,avDx
12.0,944.0,28.0,avDx
48.0,992.0,0.0,avDx
52.0,1016.0,20.0,avDx
68.0,1012.0,4.0,avDx
56.0,1012.0,-4.0,avDx
32.0,1044.0,52.0,avDx
-60.0,1288.0,72.0,avDx
-84.0,744.0,68.0,avDx
-128.0,560.0,24.0,avDx
-120.0,844.0,-116.0,avDx
-176.0,1080.0,-80.0,avDx
-64.0,968.0,-124.0,avDx
140.0,788.0,-204.0,avDx
560.0,1156.0,-168.0,avDx
552.0,640.0,-132.0,avDx
664.0,792.0,-204.0,avDx
728.0,596.0,-268.0,avDx
692.0,540.0,-232.0,avDx
708.0,580.0,-256.0,avDx
712.0,608.0,-260.0,avDx
728.0,612.0,-280.0,avDx
704.0,568.0,-248.0,avDx
700.0,492.0,-296.0,avDx
728.0,488.0,-300.0,avDx
648.0,384.0,-376.0,avDx
836.0,564.0,-224.0,avDx
756.0,524.0,-220.0,avDx
792.0,488.0,-232.0,avDx
820.0,592.0,-256.0,avDx
760.0,556.0,-324.0,avDx
752.0,508.0,-356.0,avDx
716.0,548.0,-212.0,avDx
664.0,628.0,-108.0,avDx
568.0,812.0,-148.0,avDx
392.0,764.0,-104.0,avDx
416.0,860.0,-136.0,avDx
336.0,916.0,-96.0,avDx
224.0,812.0,-92.0,avDx
200.0,1264.0,-52.0,avDx
152.0,968.0,60.0,avDx
4.0,732.0,32.0,avDx
-20.0,956.0,68.0,avDx
64.0,1008.0,-68.0,avDx
100.0,1096.0,-44.0,avDx
32.0,988.0,32.0,avDx
124.0,1056.0,16.0,avDx
128.0,984.0,-12.0,avDx
120.0,936.0,-12.0,avDx
148.0,920.0,-28.0,avDx
264.0,904.0,-76.0,avDx
496.0,788.0,-212.0,avDx
636.0,644.0,-300.0,avDx
780.0,604.0,-380.0,avDx
788.0,448.0,-232.0,avDx
804.0,420.0,-316.0,avDx
852.0,348.0,-344.0,avDx
848.0,332.0,-412.0,avDx
860.0,376.0,-392.0,avDx
828.0,380.0,-316.0,avDx
892.0,456.0,-292.0,avDx
840.0,516.0,-284.0,avDx
788.0,532.0,-264.0,avDx
728.0,576.0,-304.0,avDx
664.0,600.0,-384.0,avDx
676.0,592.0,-412.0,avDx
680.0,636.0,-368.0,avDx
656.0,704.0,-316.0,avDx
652.0,616.0,-292.0,avDx
720.0,660.0,-284.0,avDx
684.0,632.0,-220.0,avDx
648.0,628.0,-232.0,avDx
672.0,644.0,-236.0,avDx
600.0,708.0,-284.0,avDx
560.0,720.0,-244.0,avDx
560.0,708.0,-356.0,avDx
556.0,668.0,-308.0,avDx
612.0,724.0,-284.0,avDx
620.0,692.0,-208.0,avDx
672.0,712.0,-280.0,avDx
648.0,764.0,-268.0,avDx
616.0,656.0,-268.0,avDx
624.0,784.0,-228.0,avDx
528.0,768.0,-192.0,avDx
368.0,908.0,-228.0,avDx
360.0,784.0,-276.0,avDx
372.0,796.0,-344.0,avDx
428.0,748.0,-468.0,avDx
444.0,772.0,-520.0,avDx
416.0,804.0,-212.0,avDx
468.0,872.0,-172.0,avDx
448.0,764.0,-148.0,avDx
556.0,760.0,-120.0,avDx
712.0,744.0,-140.0,avDx
608.0,688.0,-296.0,avDx
656.0,632.0,-280.0,avDx
720.0,540.0,-268.0,avDx
680.0,604.0,-296.0,avDx
800.0,652.0,-320.0,avDx
740.0,512.0,-268.0,avDx
744.0,608.0,-252.0,avDx
712.0,548.0,-280.0,avDx
700.0,584.0,-296.0,avDx
824.0,556.0,-376.0,avDx
780.0,524.0,-336.0,avDx
752.0,524.0,-208.0,avDx
740.0,544.0,-260.0,avDx
732.0,548.0,-300.0,avDx
712.0,568.0,-308.0,avDx
700.0,596.0,-240.0,avDx
676.0,668.0,-312.0,avDx
652.0,628.0,-324.0,avDx
680.0,672.0,-304.0,avDx
648.0,696.0,-340.0,avDx
648.0,704.0,-220.0,avDx
668.0,724.0,-160.0,avDx
684.0,816.0,-156.0,avDx
520.0,648.0,-136.0,avDx
592.0,760.0,-256.0,avDx
596.0,752.0,-248.0,avDx
588.0,676.0,-256.0,avDx
588.0,724.0,-376.0,avDx
568.0,788.0,-324.0,avDx
592.0,824.0,-308.0,avDx
584.0,748.0,-284.0,avDx
564.0,840.0,-256.0,avDx
580.0,696.0,-248.0,avDx
648.0,684.0,-196.0,avDx
740.0,856.0,-192.0,avDx
652.0,788.0,-216.0,avDx
532.0,788.0,-140.0,avDx
600.0,756.0,-232.0,avDx
576.0,712.0,-256.0,avDx
-648.0,616.0,480.0,drDx
-668.0,576.0,476.0,drDx
-664.0,584.0,480.0,drDx
-652.0,604.0,476.0,drDx
-648.0,608.0,468.0,drDx
-656.0,604.0,476.0,drDx
-656.0,576.0,476.0,drDx
-664.0,608.0,468.0,drDx
-652.0,596.0,480.0,drDx
-660.0,620.0,448.0,drDx
-664.0,572.0,500.0,drDx
-656.0,552.0,516.0,drDx
-648.0,592.0,508.0,drDx
-664.0,552.0,504.0,drDx
-664.0,548.0,516.0,drDx
-664.0,536.0,532.0,drDx
-660.0,532.0,544.0,drDx
-664.0,548.0,524.0,drDx
-660.0,544.0,512.0,drDx
-660.0,544.0,512.0,drDx
-660.0,564.0,520.0,drDx
-660.0,540.0,520.0,drDx
-660.0,564.0,520.0,drDx
-656.0,556.0,520.0,drDx
-660.0,564.0,516.0,drDx
-660.0,544.0,540.0,drDx
-656.0,540.0,536.0,drDx
-664.0,532.0,524.0,drDx
-668.0,552.0,520.0,drDx
-676.0,536.0,500.0,drDx
-664.0,540.0,528.0,drDx
-672.0,544.0,500.0,drDx
-660.0,568.0,516.0,drDx
-644.0,568.0,528.0,drDx
-632.0,576.0,520.0,drDx
-580.0,704.0,376.0,drDx
-340.0,524.0,128.0,drDx
-232.0,1100.0,228.0,drDx
-244.0,1268.0,48.0,drDx
-280.0,1068.0,24.0,drDx
-168.0,864.0,-216.0,drDx
-368.0,1096.0,-80.0,drDx
-324.0,1004.0,160.0,drDx
-196.0,1140.0,-60.0,drDx
56.0,972.0,-64.0,drDx
-216.0,944.0,328.0,drDx
-188.0,1044.0,36.0,drDx
-248.0,1024.0,84.0,drDx
-224.0,864.0,80.0,drDx
-244.0,1000.0,64.0,drDx
-272.0,1028.0,72.0,drDx
-240.0,1100.0,120.0,drDx
-240.0,1020.0,80.0,drDx
-392.0,492.0,-548.0,drDx
-292.0,508.0,-792.0,drDx
-252.0,536.0,-912.0,drDx
-284.0,472.0,-900.0,drDx
-176.0,308.0,-1024.0,drDx
-236.0,612.0,-712.0,drDx
-196.0,856.0,448.0,drDx
-4.0,736.0,776.0,drDx
36.0,312.0,920.0,drDx
144.0,0.0,1004.0,drDx
220.0,-240.0,1028.0,drDx
160.0,-200.0,984.0,drDx
196.0,-96.0,992.0,drDx
92.0,488.0,952.0,drDx
-88.0,512.0,828.0,drDx
-224.0,764.0,508.0,drDx
