x,y,z,tipo
-120.0,956.0,-172.0,avSx
-128.0,972.0,-184.0,avSx
-140.0,952.0,-176.0,avSx
-140.0,968.0,-168.0,avSx
-148.0,964.0,-180.0,avSx
-144.0,968.0,-168.0,avSx
-144.0,960.0,-164.0,avSx
-132.0,972.0,-184.0,avSx
-132.0,972.0,-196.0,avSx
-108.0,948.0,-132.0,avSx
-84.0,1004.0,-112.0,avSx
-52.0,1000.0,-84.0,avSx
-12.0,976.0,-88.0,avSx
-28.0,1004.0,-156.0,avSx
0.0,980.0,-88.0,avSx
-28.0,988.0,-100.0,avSx
-56.0,968.0,-100.0,avSx
-28.0,980.0,-128.0,avSx
-40.0,964.0,-112.0,avSx
-24.0,976.0,-96.0,avSx
-44.0,976.0,-124.0,avSx
-24.0,1008.0,-128.0,avSx
-8.0,964.0,-112.0,avSx
-20.0,980.0,-112.0,avSx
-44.0,980.0,-104.0,avSx
-28.0,984.0,-128.0,avSx
-28.0,988.0,-112.0,avSx
0.0,980.0,-108.0,avSx
-20.0,984.0,-100.0,avSx
-24.0,972.0,-104.0,avSx
-36.0,992.0,-128.0,avSx
-28.0,964.0,-124.0,avSx
-88.0,984.0,-168.0,avSx
-124.0,948.0,-112.0,avSx
-256.0,1008.0,-116.0,avSx
-276.0,916.0,-176.0,avSx
-316.0,968.0,-128.0,avSx
-404.0,920.0,-164.0,avSx
-476.0,940.0,-132.0,avSx
-492.0,876.0,-68.0,avSx
-492.0,756.0,-80.0,avSx
-340.0,760.0,-104.0,avSx
148.0,1076.0,260.0,avSx
216.0,872.0,320.0,avSx
228.0,884.0,420.0,avSx
176.0,784.0,220.0,avSx
244.0,868.0,360.0,avSx
212.0,1024.0,232.0,avSx
316.0,912.0,216.0,avSx
288.0,868.0,148.0,avSx
280.0,976.0,176.0,avSx
280.0,856.0,96.0,avSx
304.0,956.0,132.0,avSx
304.0,852.0,68.0,avSx
276.0,932.0,180.0,avSx
316.0,904.0,128.0,avSx
296.0,896.0,176.0,avSx
272.0,928.0,180.0,avSx
256.0,856.0,148.0,avSx
304.0,972.0,192.0,avSx
76.0,1080.0,52.0,avSx
360.0,820.0,8.0,avSx
292.0,1008.0,160.0,avSx
252.0,904.0,228.0,avSx
280.0,924.0,156.0,avSx
292.0,864.0,192.0,avSx
264.0,876.0,128.0,avSx
272.0,912.0,64.0,avSx
224.0,928.0,40.0,avSx
280.0,1028.0,152.0,avSx
180.0,800.0,96.0,avSx
196.0,1004.0,24.0,avSx
232.0,956.0,-16.0,avSx
196.0,912.0,-24.0,avSx
216.0,984.0,-32.0,avSx
228.0,944.0,-16.0,avSx
240.0,948.0,32.0,avSx
204.0,972.0,0.0,avSx
200.0,964.0,-32.0,avSx
228.0,920.0,-8.0,avSx
