x,y,z,tipo
-412.0,860.0,188.0,fm
-12.0,924.0,176.0,fm
-44.0,880.0,352.0,fm
-68.0,924.0,424.0,fm
-68.0,1132.0,100.0,fm
-96.0,760.0,188.0,fm
224.0,792.0,140.0,fm
-68.0,828.0,324.0,fm
-256.0,1120.0,232.0,fm
-100.0,1056.0,-12.0,fm
-44.0,800.0,436.0,fm
48.0,1340.0,-492.0,fm
164.0,660.0,804.0,fm
-124.0,672.0,884.0,fm
-224.0,476.0,1104.0,fm
84.0,1120.0,-152.0,fm
-112.0,536.0,976.0,fm
-48.0,684.0,744.0,fm
368.0,596.0,1128.0,fm
516.0,684.0,432.0,fm
516.0,612.0,480.0,fm
648.0,468.0,504.0,fm
72.0,696.0,356.0,fm
-140.0,708.0,772.0,fm
-200.0,832.0,720.0,fm
-20.0,688.0,840.0,fm
692.0,564.0,284.0,fm
568.0,500.0,448.0,fm
420.0,648.0,468.0,fm
-524.0,412.0,1256.0,fm
-276.0,700.0,636.0,fm
-248.0,640.0,748.0,fm
4.0,152.0,976.0,fm
136.0,60.0,1060.0,fm
160.0,-104.0,1144.0,fm
108.0,-288.0,1056.0,fm
200.0,-284.0,1080.0,fm
28.0,-260.0,968.0,fm
168.0,-216.0,864.0,fm
176.0,-224.0,896.0,fm
196.0,-172.0,1108.0,fm
176.0,-256.0,1096.0,fm
196.0,-232.0,1004.0,fm
216.0,-192.0,1008.0,fm
116.0,-220.0,1072.0,fm
372.0,-200.0,776.0,fm
432.0,-200.0,808.0,fm
256.0,-120.0,1092.0,fm
-600.0,184.0,824.0,fm
-680.0,280.0,712.0,fm
-592.0,276.0,668.0,fm
-304.0,216.0,796.0,fm
-500.0,136.0,936.0,fm
-84.0,-600.0,1992.0,fm
668.0,20.0,932.0,fm
548.0,-64.0,848.0,fm
356.0,-116.0,1012.0,fm
-300.0,68.0,1136.0,fm
-644.0,148.0,1052.0,fm
-624.0,-60.0,1312.0,fm
144.0,-44.0,636.0,fm
628.0,-24.0,772.0,fm
552.0,-108.0,944.0,fm
612.0,-180.0,940.0,fm
240.0,516.0,364.0,fm
-344.0,248.0,1020.0,fm
-424.0,36.0,1120.0,fm
224.0,-108.0,1392.0,fm
440.0,52.0,776.0,fm
496.0,-48.0,824.0,fm
448.0,-16.0,960.0,fm
-100.0,380.0,584.0,fm
-608.0,208.0,960.0,fm
276.0,-208.0,1120.0,fm
476.0,60.0,804.0,fm
256.0,-160.0,1116.0,fm
-684.0,-68.0,1612.0,fm
-584.0,400.0,532.0,fm
-308.0,288.0,680.0,fm
-152.0,28.0,980.0,fm
-176.0,-80.0,672.0,fm
440.0,-52.0,756.0,fm
496.0,-248.0,856.0,fm
-192.0,192.0,-20.0,fm
56.0,-220.0,1064.0,fm
-180.0,48.0,976.0,fm
-208.0,244.0,980.0,fm
-372.0,144.0,1036.0,fm
32.0,132.0,808.0,fm
252.0,-16.0,892.0,fm
320.0,-100.0,916.0,fm
360.0,-28.0,984.0,fm
268.0,-220.0,1164.0,fm
480.0,-152.0,844.0,fm
316.0,-48.0,928.0,fm
-4.0,120.0,724.0,fm
-116.0,-44.0,1204.0,fm
-416.0,240.0,992.0,fm
-84.0,72.0,932.0,fm
448.0,-84.0,876.0,fm
248.0,-184.0,860.0,fm
