x,y,z,tipo
180.0,964.0,164.0,fmDx
204.0,960.0,132.0,fmDx
196.0,948.0,132.0,fmDx
200.0,968.0,140.0,fmDx
200.0,944.0,144.0,fmDx
204.0,944.0,128.0,fmDx
200.0,960.0,136.0,fmDx
200.0,944.0,140.0,fmDx
212.0,956.0,136.0,fmDx
212.0,960.0,120.0,fmDx
208.0,952.0,136.0,fmDx
216.0,952.0,128.0,fmDx
200.0,956.0,120.0,fmDx
204.0,952.0,144.0,fmDx
204.0,948.0,128.0,fmDx
220.0,960.0,136.0,fmDx
208.0,968.0,140.0,fmDx
196.0,960.0,148.0,fmDx
196.0,948.0,144.0,fmDx
204.0,948.0,116.0,fmDx
200.0,960.0,132.0,fmDx
192.0,932.0,156.0,fmDx
200.0,956.0,156.0,fmDx
196.0,960.0,132.0,fmDx
196.0,952.0,176.0,fmDx
204.0,944.0,168.0,fmDx
204.0,964.0,156.0,fmDx
196.0,948.0,172.0,fmDx
192.0,948.0,140.0,fmDx
220.0,944.0,152.0,fmDx
212.0,948.0,156.0,fmDx
204.0,948.0,136.0,fmDx
200.0,948.0,148.0,fmDx
-8.0,1012.0,164.0,fmDx
-168.0,988.0,-8.0,fmDx
-312.0,976.0,-28.0,fmDx
-296.0,808.0,64.0,fmDx
-132.0,1216.0,-120.0,fmDx
-172.0,1120.0,-128.0,fmDx
-148.0,920.0,-44.0,fmDx
-168.0,968.0,-44.0,fmDx
-192.0,980.0,-20.0,fmDx
-304.0,860.0,-20.0,fmDx
-128.0,1012.0,48.0,fmDx
-148.0,972.0,36.0,fmDx
-144.0,988.0,40.0,fmDx
-144.0,992.0,60.0,fmDx
-108.0,996.0,52.0,fmDx
-96.0,1008.0,12.0,fmDx
-60.0,988.0,-12.0,fmDx
-76.0,1076.0,48.0,fmDx
-160.0,920.0,32.0,fmDx
-256.0,944.0,44.0,fmDx
-268.0,984.0,80.0,fmDx
-268.0,960.0,60.0,fmDx
-324.0,900.0,112.0,fmDx
-240.0,960.0,32.0,fmDx
-216.0,896.0,32.0,fmDx
20.0,1376.0,20.0,fmDx
-80.0,892.0,4.0,fmDx
-32.0,824.0,40.0,fmDx
16.0,1048.0,88.0,fmDx
-56.0,1020.0,0.0,fmDx
-192.0,920.0,24.0,fmDx
-208.0,972.0,56.0,fmDx
-160.0,976.0,-4.0,fmDx
-148.0,980.0,-4.0,fmDx
-148.0,968.0,0.0,fmDx
44.0,924.0,-96.0,fmDx
168.0,828.0,-60.0,fmDx
708.0,684.0,-364.0,fmDx
788.0,628.0,-288.0,fmDx
784.0,524.0,-320.0,fmDx
760.0,500.0,-280.0,fmDx
740.0,748.0,-304.0,fmDx
400.0,852.0,-248.0,fmDx
336.0,1008.0,-192.0,fmDx
80.0,1032.0,-40.0,fmDx
-152.0,956.0,-20.0,fmDx
-340.0,936.0,124.0,fmDx
-440.0,908.0,40.0,fmDx
-528.0,716.0,100.0,fmDx
-576.0,804.0,-4.0,fmDx
-532.0,812.0,24.0,fmDx
-484.0,804.0,-32.0,fmDx
-428.0,940.0,-24.0,fmDx
-116.0,1004.0,-84.0,fmDx
20.0,980.0,-228.0,fmDx
196.0,836.0,-268.0,fmDx
520.0,776.0,-380.0,fmDx
524.0,700.0,-376.0,fmDx
528.0,488.0,-248.0,fmDx
740.0,480.0,-356.0,fmDx
772.0,524.0,-376.0,fmDx
680.0,612.0,-368.0,fmDx
564.0,716.0,-240.0,fmDx
424.0,932.0,-240.0,fmDx
172.0,956.0,-108.0,fmDx
-68.0,992.0,-108.0,fmDx
-272.0,940.0,-52.0,fmDx
-464.0,968.0,120.0,fmDx
-528.0,788.0,84.0,fmDx
-544.0,736.0,8.0,fmDx
-572.0,796.0,28.0,fmDx
-560.0,740.0,32.0,fmDx
-468.0,768.0,8.0,fmDx
-172.0,932.0,-196.0,fmDx
-28.0,1212.0,-176.0,fmDx
288.0,880.0,-336.0,fmDx
484.0,780.0,-444.0,fmDx
696.0,736.0,-480.0,fmDx
756.0,528.0,-432.0,fmDx
744.0,512.0,-424.0,fmDx
784.0,508.0,-416.0,fmDx
768.0,496.0,-452.0,fmDx
736.0,556.0,-396.0,fmDx
756.0,648.0,-408.0,fmDx
576.0,776.0,-352.0,fmDx
304.0,996.0,-308.0,fmDx
52.0,1000.0,-188.0,fmDx
-232.0,984.0,-64.0,fmDx
-400.0,912.0,-72.0,fmDx
-496.0,864.0,-28.0,fmDx
-600.0,680.0,52.0,fmDx
-620.0,880.0,24.0,fmDx
-552.0,748.0,48.0,fmDx
-304.0,816.0,-140.0,fmDx
-56.0,1004.0,-240.0,fmDx
4.0,1040.0,-272.0,fmDx
240.0,812.0,-364.0,fmDx
532.0,728.0,-472.0,fmDx
636.0,704.0,-468.0,fmDx
716.0,636.0,-412.0,fmDx
668.0,524.0,-348.0,fmDx
688.0,540.0,-388.0,fmDx
660.0,672.0,-392.0,fmDx
552.0,688.0,-332.0,fmDx
380.0,872.0,-336.0,fmDx
124.0,888.0,-184.0,fmDx
-72.0,972.0,-200.0,fmDx
-296.0,940.0,-148.0,fmDx
-540.0,760.0,36.0,fmDx
-556.0,712.0,24.0,fmDx
-580.0,784.0,-28.0,fmDx
-540.0,748.0,12.0,fmDx
-492.0,900.0,-48.0,fmDx
-416.0,804.0,-20.0,fmDx
-180.0,984.0,-144.0,fmDx
216.0,808.0,-488.0,fmDx
344.0,744.0,-336.0,fmDx
456.0,808.0,-392.0,fmDx
592.0,668.0,-468.0,fmDx
636.0,576.0,-488.0,fmDx
648.0,656.0,-468.0,fmDx
668.0,632.0,-476.0,fmDx
608.0,636.0,-392.0,fmDx
432.0,756.0,-352.0,fmDx
344.0,848.0,-416.0,fmDx
156.0,1012.0,-308.0,fmDx
-208.0,1116.0,-252.0,fmDx
-496.0,700.0,-72.0,fmDx
-520.0,832.0,44.0,fmDx
-504.0,760.0,-68.0,fmDx
-516.0,720.0,-124.0,fmDx
-236.0,912.0,-168.0,fmDx
56.0,920.0,-296.0,fmDx
