x,y,z,tipo
136.0,956.0,-156.0,fmSx
104.0,964.0,-152.0,fmSx
44.0,976.0,-160.0,fmSx
84.0,976.0,-172.0,fmSx
112.0,944.0,-168.0,fmSx
60.0,972.0,-156.0,fmSx
80.0,984.0,-168.0,fmSx
120.0,964.0,-160.0,fmSx
44.0,964.0,-164.0,fmSx
96.0,964.0,-168.0,fmSx
120.0,960.0,-160.0,fmSx
68.0,980.0,-172.0,fmSx
76.0,980.0,-152.0,fmSx
104.0,956.0,-180.0,fmSx
88.0,964.0,-160.0,fmSx
72.0,968.0,-156.0,fmSx
80.0,968.0,-180.0,fmSx
104.0,976.0,-168.0,fmSx
92.0,948.0,-156.0,fmSx
108.0,956.0,-176.0,fmSx
84.0,960.0,-176.0,fmSx
100.0,968.0,-192.0,fmSx
88.0,964.0,-188.0,fmSx
80.0,988.0,-212.0,fmSx
36.0,1144.0,-168.0,fmSx
-128.0,848.0,-168.0,fmSx
-192.0,900.0,-212.0,fmSx
-152.0,1000.0,-268.0,fmSx
-160.0,928.0,-304.0,fmSx
-152.0,964.0,-204.0,fmSx
-160.0,1008.0,-240.0,fmSx
-140.0,964.0,-248.0,fmSx
-128.0,944.0,-284.0,fmSx
-88.0,940.0,-292.0,fmSx
-48.0,948.0,-272.0,fmSx
-56.0,964.0,-324.0,fmSx
-20.0,976.0,-272.0,fmSx
-36.0,964.0,-264.0,fmSx
-32.0,948.0,-288.0,fmSx
-32.0,964.0,-264.0,fmSx
-36.0,984.0,-280.0,fmSx
-44.0,980.0,-284.0,fmSx
-108.0,1044.0,-224.0,fmSx
-236.0,1020.0,-144.0,fmSx
-288.0,944.0,-100.0,fmSx
-412.0,808.0,-192.0,fmSx
-456.0,852.0,-224.0,fmSx
-488.0,956.0,-272.0,fmSx
-316.0,960.0,-264.0,fmSx
-268.0,880.0,-312.0,fmSx
-304.0,952.0,-304.0,fmSx
-252.0,912.0,-244.0,fmSx
-240.0,944.0,-248.0,fmSx
-272.0,980.0,-232.0,fmSx
-268.0,1032.0,-144.0,fmSx
-352.0,940.0,-144.0,fmSx
-368.0,892.0,-232.0,fmSx
-492.0,936.0,-232.0,fmSx
-460.0,892.0,-40.0,fmSx
-468.0,888.0,104.0,fmSx
-596.0,772.0,144.0,fmSx
-456.0,828.0,204.0,fmSx
-496.0,992.0,132.0,fmSx
-500.0,808.0,-12.0,fmSx
-580.0,916.0,-36.0,fmSx
-432.0,888.0,-56.0,fmSx
-416.0,828.0,0.0,fmSx
16.0,820.0,44.0,fmSx
332.0,1048.0,312.0,fmSx
544.0,696.0,220.0,fmSx
640.0,808.0,268.0,fmSx
624.0,596.0,216.0,fmSx
632.0,728.0,236.0,fmSx
476.0,960.0,176.0,fmSx
-140.0,976.0,28.0,fmSx
-340.0,736.0,-64.0,fmSx
-588.0,720.0,-180.0,fmSx
-564.0,608.0,104.0,fmSx
-496.0,712.0,76.0,fmSx
-28.0,592.0,452.0,fmSx
284.0,1184.0,596.0,fmSx
204.0,1108.0,492.0,fmSx
48.0,820.0,120.0,fmSx
-136.0,1028.0,-368.0,fmSx
-224.0,784.0,-520.0,fmSx
-224.0,716.0,-548.0,fmSx
56.0,680.0,-604.0,fmSx
224.0,728.0,-656.0,fmSx
444.0,580.0,-716.0,fmSx
444.0,660.0,-664.0,fmSx
392.0,648.0,-752.0,fmSx
332.0,784.0,-728.0,fmSx
80.0,620.0,-916.0,fmSx
-8.0,744.0,-772.0,fmSx
-204.0,972.0,-388.0,fmSx
-436.0,748.0,-256.0,fmSx
-504.0,840.0,-92.0,fmSx
-472.0,692.0,-12.0,fmSx
-296.0,932.0,56.0,fmSx
96.0,904.0,288.0,fmSx
368.0,772.0,348.0,fmSx
496.0,904.0,336.0,fmSx
296.0,1132.0,260.0,fmSx
-160.0,1296.0,144.0,fmSx
-396.0,576.0,-56.0,fmSx
-676.0,524.0,-120.0,fmSx
-752.0,580.0,-88.0,fmSx
-724.0,624.0,-32.0,fmSx
